#,Author,Total Poems,Live,Verse Daily,Poetry Daily,RALP,Slowdown
709,Caroline Cabrera,2,,2,,,
710,CAConrad,3,,,2,,1
711,Rafael Cadenas,1,,,1,,
712,Teresa Cader,1,,,,,1
713,Levi Cain,1,,,,,1
714,Marty Cain,1,,,1,,
715,Danny Caine,2,,,1,,1
716,Carmen Calatayud,1,,1,,,
717,Cathleen Calbert,1,,1,,,
718,Matthew Caley,1,,1,,,
719,Collin Callahan,1,,1,,,
720,Nicole Callihan,3,,2,,,1
721,Gabrielle Calvocoressi,9,,,1,5,3
722,Víctor Fowler Calzada,1,,,,,1
723,Lauren Camp,5,,2,2,,1
724,Joseph Campana,3,,3,,,
725,Bonnie Jo Campbell,1,,1,,,
726,Rick Campbell,1,,1,,,
727,Rafael Campo,3,,3,,,
728,David Campos,1,,1,,,
729,Haroldo de Campos,1,,,1,,
730,Marci Calabretta Cancio-Bello,1,,,,,1
731,Kara Candito,2,,2,,,
732,Kayleb Rae Candrilli,3,,1,1,,1
733,Michael Cantor,1,,1,,,
734,Anthony Vahni Capildeo,1,,,1,,
735,Vahni Capildeo,2,,,1,1,
736,Joseph J. Capista,1,,,1,,
737,David Caplan,1,,1,,,
738,Garrett Caples,1,,,1,,
739,James Capozzi,1,,1,,,
740,Caylin Capra-Thomas,1,,1,,,
741,Maryan Nagy Captan,1,,,1,,
742,Ernesto Cardenal,1,,,,,1
743,Brenda Cárdenas,2,,1,1,,
744,Jenna Cardinale,1,,1,,,
745,Hélène Cardona,2,,1,,,1
746,Frank Carellini,1,,,1,,
747,Sarah Carey,3,,3,,,
748,Ina Cariño,2,,,1,,1
749,Karen Carissimo,1,,1,,,
750,Kevin Cark,1,,1,,,
751,Chuck Carlise,1,,1,,,
752,Wendy Taylor Carlisle,1,,1,,,
753,Barbara Siegel Carlson,2,,2,,,
754,Claudia Carlson,1,,1,,,
755,Mike Carlson,1,,,1,,
756,Nancy Naomi Carlson,2,,1,1,,
757,Ron Carlson,1,,1,,,
758,Seán Carlson,2,,2,,,
759,Tina Carlson,2,,2,,,
760,Martha Carlson-Bradley,2,,2,,,
761,Kai Carlson-Wee,2,,1,,,1
762,Rob Carney,5,,4,1,,
763,Neil Carpathios,3,,3,,,
764,Julie Carr,4,,3,1,,
765,Tim Carrier,1,,,1,,
766,Abigail Carroll,1,,,,,1
767,Judith Waller Carroll,1,,1,,,
768,Lewis Carroll,1,,,,,1
769,Peter Neil Carroll,1,,1,,,
770,Willa Carroll,1,,,,,1
771,Hayden Carruth,1,,1,,,
772,Anne Carson,1,,,,,1
773,Mike Carson,1,,1,,,
774,Sarah Carson,1,,,,,1
775,Camille Carter,2,,,,,2
776,Daniel Carter,1,,1,,,
777,John Randolph Carter,1,,1,,,
778,Pamela Hobart Carter,1,,1,,,
779,Tim Carter,1,,,1,,
780,Benjamin Cartwright,1,,1,,,
781,Bill Carty,4,,2,2,,
782,Raymond Carver,6,,,,6,
783,Kristen Case,1,,1,,,
784,Edip Caserver,1,,1,,,
785,Anne Casey,1,,1,,,
786,Izzy Casey,1,,,1,,
787,Jocelyn Casey-Whiteman,1,,1,,,
788,Valerie Mejer Caso,1,,,1,,
789,Patricia Caspers,1,,1,,,
790,Stacie Cassarino,3,,,2,,1
791,Keisha Cassel,1,,,,,1
792,Cyrus Cassells,2,,1,,,1
793,Nina Cassian,1,,,,1,
794,John Casteen,1,,1,,,
795,Rosa Castellano,1,,,1,,
796,Blanca Castellón,1,,1,,,
797,Christiana Castillo,1,,,,1,
798,Marcelo Hernandez Castillo,1,,1,,,
799,Steve Castro,1,,1,,,
800,Willa Cather,1,,,,,1
801,Lissa Cattrone,1,,1,,,
802,Gaius Valerius Catullus,1,,,1,,
803,C. P. Cavafy,4,,,1,2,1
804,Grace Cavalieri,1,,1,,,
805,Brittany Cavallaro,2,,2,,,
806,Patrizia Cavalli,1,,,,1,
807,Stephanie Cawley,2,,1,1,,
808,Shuly Xóchitl Cawood,2,,2,,,
809,Aaron Caycedo-Kimura,2,,1,1,,
810,Kate Cayley,1,,,1,,
811,David Cazden,1,,1,,,
812,Paul Hlava Ceballos,2,,,1,,1
813,Travis Cebula,1,,1,,,
814,Richard Cecil,2,,2,,,
815,Paul Celan,2,,,1,,1
816,Rocío Cerón,1,,,1,,
817,Andrés Cerpa,1,,,1,,
818,Lorna Dee Cervantes,4,,1,,1,2
819,Theresa Hak Kyung Cha,1,,,1,,
820,Abigail Chabitnoy,1,,,,,1
821,Francesca Chabrier,1,,1,,,
822,Richard Chadburn,1,,,1,,
823,Sumita Chakraborty,1,,,,1,
824,Cara Chamberlain,1,,1,,,
825,Farah Chamma,1,,,,1,
826,Anne Champion,3,,3,,,
827,Dorothy Chan,2,,2,,,
828,Jody Chan,2,,1,1,,
829,Marianne Chan,2,,,1,,1
830,Wo Chan,2,,,1,,1
831,Catherine Chandler,1,,1,,,
832,Tom Chandler,3,,,,3,
833,Joseph Chaney,1,,,,1,
834,Jennifer Chang,9,,2,2,1,4
835,Kristin Chang,1,,1,,,
836,Liz Chang,1,,1,,,
837,Michael Chang,3,,2,1,,
838,Robin Rosen Chang,1,,1,,,
839,Tina Chang,2,,,,,2
840,Victoria Chang,13,,4,3,3,3
841,Yuan Changming,1,,,1,,
842,Colin Channer,1,,,,,1
843,Katie Chaple,1,,1,,,
844,Patrick Chapman,1,,1,,,
845,Robin Chapman,5,,5,,,
846,René Char,1,,,1,,
847,Hayan Charara,3,,,1,,2
848,Sharon Charde,1,,1,,,
849,Jos Charles,3,,,2,,1
850,Cortney Lamar Charleston,1,,1,,,
851,Leila Chatti,12,,,6,3,3
852,Geoffrey Chaucer,1,1,,,,
853,Sarah A. Chavez,1,,1,,,
854,Malcolm de Chazal,1,,,1,,
855,Alan Chazaro,3,,2,1,,
856,Cathy Linh Che,1,,,,,1
857,MRB Chelko,2,,2,,,
858,Dan Chelotti,1,,,,1,
859,Chen Chen,8,,,1,3,4
860,Feng Sun Chen,1,,1,,,
861,Kirsten Shu-ying Chen,1,,1,,,
862,Madelyn Chen,1,,1,,,
863,Wendy Chen,1,,1,,,
864,Yuan Chen,1,,,,1,
865,Colin Cheney,1,,1,,,
866,Maxine Chernoff,3,,3,,,
867,Kelly Cherry,1,,1,,,
868,Richard Chess,1,,1,,,
869,Johnson Cheu,1,,1,,,
870,Abby Chew,1,,1,,,
871,Dan Chiasson,2,,,1,1,
872,Natalye Childress,1,,1,,,
873,Susanna Childress,1,,1,,,
874,Adam Chiles,1,,1,,,
875,abeo chimeka-tisdale,1,,,,1,
876,Marilyn Chin,2,,,1,,1
877,Yau Ching,1,,,1,,
878,McKenzie Chinn,1,,,,1,
879,Michael Chitwood,8,,8,,,
880,Terrence Chiusano,1,,1,,,
881,Robert Chiwamba,1,,,1,,
882,Sharon Chmielarz,1,,1,,,
883,Su Cho,1,,,1,,
884,Don Mee Choi,5,,,3,2,
885,Franny Choi,7,,,1,2,4
886,Hedgie Choi,2,,,1,,1
887,Hee-June Choi,1,,,1,,
888,Jeongrye Choi,1,,,,1,
889,Noah Arhm Choi,2,,1,1,,
890,Nuala Ní Chonchúir,1,,1,,,
891,Ali Choudhary,1,,,,1,
892,Katy Chrisler,2,,2,,,
893,Yvette Christiansë,1,,1,,,
894,A. V. Christie,1,,,1,,
895,Heather Christle,6,,2,1,1,2
896,Ewa Chrusciel,1,,1,,,
897,Ace Chu,1,,,,1,
898,Xi Chuan,1,,,1,,
899,Adrienne Chung,2,,,1,,1
900,Derek Chung,1,,,1,,
901,James Ciano,1,,,,,1
902,Darin Ciccotelli,2,,2,,,
903,James Cihlar,4,,4,,,
904,Michael Cirelli,2,,2,,,
905,Paula Cisewski,4,,4,,,
906,Sandra Cisneros,1,,,,,1
907,Mary Cisper,1,,1,,,
908,Christopher Citro,8,,5,1,2,
909,Diya Ciwan,1,,,1,,
910,Hélène Cixous,1,,,1,,
911,Jenna Clake,1,,1,,,
912,Kate Clanchy,5,,,,5,
913,John Clare,1,,,,,1
914,Olivia Clare,1,,1,,,
915,Acie Clark,2,,,,2,
916,Amy M. Clark,1,,1,,,
917,Ben Clark,1,,1,,,
918,Charlie Clark,4,,3,1,,
919,Clayton Adam Clark,1,,1,,,
920,Dante Clark,1,,,,,1
921,Faith Gómez Clark,1,,1,,,
922,George David Clark,5,,5,,,
923,Jo Ann Clark,2,,2,,,
924,Lauren Clark,1,,,,,1
925,Marisa P. Clark,1,,1,,,
926,Patricia Clark,4,,4,,,
927,Thomas A. Clark,1,,,1,,
928,Tiana Clark,1,,,,,1
929,Cheryl Clarke,1,,,1,,
930,Jennifer Clarvoe,1,,1,,,
931,Killarney Clary,1,,1,,,
932,Grant Clauser,4,,4,,,
933,Adam Clay,10,,5,2,,3
934,Bernard Clay,1,,,1,,
935,T. Clear,1,,1,,,
936,Eileen Cleary,1,,1,,,
937,Suzanne Cleary,4,,3,,,1
938,Cody-Rose Clevidence,3,,,3,,
939,Lyrae Van Clief-Stefanon,1,,,1,,
940,Liz N. Clift,1,,1,,,
941,Lucille Clifton,19,,3,4,9,3
942,DeWitt Clinton,1,,1,,,
943,Abigail Cloud,1,,1,,,
944,Allison Cobb,1,,,1,,
945,Joshua Coben,1,,1,,,
946,Ama Codjoe,5,,,2,,3
947,Anthony Cody,1,,,,,1
948,Scott Coffel,1,,1,,,
949,Lisa Coffman,1,,1,,,
950,Andrea Cohen,11,,6,1,1,3
951,Bruce Cohen,2,,2,,,
952,Hannah Cohen,1,,1,,,
953,Julia Cohen,2,,2,,,
954,Leonard Cohen,8,,,,8,
955,Max Cohen,1,,1,,,
956,Nan Cohen,2,,1,,,1
957,Susan Cohen,1,,1,,,
958,Allison Adelle Hedge Coke,2,,,2,,
959,Paula Colangelo,1,,,,,1
960,Nadia Colburn,2,,2,,,
961,Joan Colby,3,,3,,,
962,Kate Colby,1,,,1,,
963,Diana Cole,1,,1,,,
964,Ellen Aronofsky Cole,1,,1,,,
965,Henri Cole,2,,,1,,1
966,Norma Cole,1,,1,,,
967,Richard Cole,1,,1,,,
968,Aaron Coleman,2,,,1,,1
969,Wanda Coleman,4,,,1,1,2
970,Elizabeth J. Colen,2,,2,,,
971,Samuel Taylor Coleridge,3,3,,,,
972,Don Coles,1,,,,1,
973,Katharine Coles,4,,4,,,
974,Rob Macaisa Colgate,2,,,2,,
975,Andrew Collard,2,,1,1,,
976,Donovan Kūhiō Colleps,1,,,,,1
977,Christian J. Collier,1,,,1,,
978,Michael Collier,3,,1,1,,1
979,Arda Collins,2,,,1,,1
980,Billy Collins,13,,3,,8,2
981,Christopher P. Collins,1,,1,,,
982,Martha Collins,3,,3,,,
983,Michael Collins,1,,1,,,
984,Ryan Collins,1,,1,,,
985,Stephen Collis,1,,,1,,
986,Jona Colson,1,,1,,,
987,Francis Combes,1,,1,,,
988,Jane Commane,1,,1,,,
989,Shanna Compton,3,,3,,,
990,Evan S. Connell,1,,,1,,
991,Geraldine Connolly,2,,2,,,
992,Kell Connor,1,,,1,,
993,Ginny Lowe Connors,1,,1,,,
994,Gillian Conoley,2,,,2,,
995,J.L. Conrad,1,,1,,,
996,Ina Conradie,1,,1,,,
997,Brendan Constantine,1,,1,,,
998,Linda Haviland Conte,1,,1,,,
999,Mark Conway,1,,1,,,
1000,Glenna Cook,1,,1,,,
1001,Rob Cook,2,,2,,,
1002,Bess Cooley,1,,1,,,
1003,Nicole Cooley,1,,1,,,
1004,Peter Cooley,6,,6,,,
1005,Clark Coolidge,2,,,,,2
1006,Sandy Coomer,1,,1,,,
1007,Marsha Truman Cooper,1,,1,,,
1008,Wyn Cooper,2,,1,1,,
1009,Matthew Cooperman,2,,1,1,,
1010,Wendy Cope,7,,,,6,1
1011,Beth Copeland,3,,3,,,
1012,Seth Copeland,1,,1,,,
1013,Maryann Corbett,6,,6,,,
1014,Robert Cording,3,,1,2,,
1015,Joshua Corey,1,,1,,,
1016,Alfred Corn,1,,1,,,
1017,Mary Cornish,1,,1,,,
1018,Luciana Jazmín Coronado,1,,,1,,
1019,Susan Michele Coronel,1,,1,,,
1020,Eduardo C. Corral,2,,,,1,1
1021,Isabelle Correa,2,,,,1,1
1022,Daniel Corrie,1,,1,,,
1023,Brittney Corrigan,1,,1,,,
1024,Stella Corso,1,,,1,,
1025,Julio Cortázar,2,,,,2,
1026,Claudia Cortese,1,,1,,,
1027,Jayne Cortez,1,,,1,,
1028,Rio Cortez,3,,,1,1,1
1029,Emily Corwin,1,,1,,,
1030,Maria Costantini,1,,1,,,
1031,Barbara Costas-Biggs,1,,,,,1
1032,T. Zachary Cotler,1,,1,,,
1033,Tasha Cotter,2,,2,,,
1034,Colby Cotton,1,,1,,,
1035,Leigh Anne Couch,1,,1,,,
1036,Daniel Coudriet,2,,2,,,
1037,Liz Countryman,1,,,1,,
1038,Justin Courter,1,,1,,,
1039,Brandon Courtney,2,,2,,,
1040,Nick Courtright,4,,4,,,
1041,Heather Cousins,1,,1,,,
1042,Lisa Fay Coutley,9,,8,,,1
1043,Mia Couto,1,,,1,,
1044,Rachel Coventry,1,,1,,,
1045,Peter Covino,1,,1,,,
1046,Caitlin Cowan,2,,1,,1,
1047,Andrew Cox,1,,1,,,
1048,Elizabeth Cox,1,,1,,,
1049,Justin Cox,1,,,1,,
1050,Mark Cox,2,,2,,,
1051,Matt Cozart,1,,1,,,
1052,Dorsey Craft,1,,1,,,
1053,Ken Craft,1,,1,,,
1054,Kevin Craft,2,,1,,,1
1055,Brody Parrish Craig,1,,,1,,
1056,Hannah Craig,3,,3,,,
1057,Michael Earl Craig,1,,,1,,
1058,Karen Craigo,1,,1,,,
1059,Steven Cramer,7,,6,,1,
1060,Hart Crane,2,,,,,2
1061,Patty Crane,1,,1,,,
1062,Stephen Crane,3,1,,,2,
1063,Jackie Craven,1,,1,,,
1064,Jane Craven,1,,1,,,
1065,Tim Craven,1,,1,,,
1066,Madeleine Cravens,2,,,1,,1
1067,Henry Crawford,2,,2,,,
1068,Lauren Crawford,1,,1,,,
1069,Lynda V.E. Crawford,1,,,1,,
1070,Marisa Crawford,1,,1,,,
1071,Morri Creech,4,,2,2,,
1072,Carolyn Creedon,1,,1,,,
1073,Robert Creeley,9,,1,,8,
1074,Bernadette Cremin,1,,1,,,
1075,Kelly Cressio-Moeller,2,,2,,,
1076,Laura Cresté,2,,,1,,1
1077,Caroline Crew,1,,1,,,
1078,James Crews,6,,2,,1,3
1079,Adam Crittenden,1,,1,,,
1080,Noel Crook,1,,1,,,
1081,Barbara Crooker,8,,5,,1,2
1082,Rebecca Cross,1,,,1,,
1083,Mary Crow,2,,2,,,
1084,Melissa Crowe,1,,,1,,
1085,Elizabeth Crowell,1,,1,,,
1086,Lena Crown,1,,,1,,
1087,Martyn Crucefix,1,,1,,,
1088,Cynthia Cruz,5,,2,2,,1
1089,Letisia Cruz,1,,,1,,
1090,Michael Brooks Cryer,1,,1,,,
1091,Jessica Cuello,6,,5,1,,
1092,Luis Alberto de Cuenca,1,,,1,,
1093,Brian Culhane,2,,2,,,
1094,Countee Cullen,2,,,,,2
1095,Majella Cullinane,1,,1,,,
1096,Patrick Culliton,1,,1,,,
1097,E. E. Cummings,17,,,,11,6
1098,Gillian Cummings,1,,1,,,
1099,James Cummins,1,,1,,,
1100,Melissa Cundieff,1,,1,,,
1101,E. G. Cunningham,2,,2,,,
1102,P. Scott Cunningham,1,,1,,,
1103,Joanna Currey,1,,,,,1
1104,Jen Currin,2,,2,,,
1105,Aria Curtis,1,,,1,,
1106,Dana Curtis,6,,6,,,
1107,Grace Curtis,1,,1,,,
1108,Caleb Curtiss,1,,,,,1
1109,James Cushing,1,,1,,,
1110,Rachel Custer,1,,1,,,
1111,Benjamin Cutler,1,,1,,,
1112,Kevin Cutrer,1,,1,,,
1113,Weston Cutter,6,,6,,,
1114,Heidi Czerwiec,1,,1,,,
1115,Philip Dacey,3,,3,,,
1116,Raphael Dagold,1,,1,,,
1117,James D'Agostino,1,,1,,,
1118,Fred D'Aguiar,1,,,1,,
1119,Ashley Brooke Dailey,1,,,,,1
1120,Sara Dailey,1,,1,,,
1121,Jean Daive,1,,1,,,
1122,Šari Dale,1,,,1,,
1123,Michael Daley,1,,1,,,
1124,Yrsa Daley-Ward,1,,1,,,
1125,Amanda Dalton,1,,1,,,
1126,DéLana R.A. Dameron,2,,,,,2
1127,Jesse Damiani,1,,1,,,
1128,Lindsay M. D'Andrea,1,,1,,,
1129,Uyen Phuong Dang,1,,,,,1
1130,Julie Danho,4,,3,,1,
1131,John Daniel,1,,1,,,
1132,Mary-Alice Daniel,2,,,1,,1
1133,Zachary Daniel,1,,1,,,
1134,Jim Daniels,11,,10,,,1
1135,JK Daniels,1,,1,,,
1136,Kate Daniels,3,,2,,,1
1137,Kwame Sound Daniels,1,,,,,1
1138,Luca D'Anselmi,1,,,1,,
1139,Daniela Danz,1,,,1,,
1140,Bei Dao,1,,,1,,
1141,Colin Dardis,1,,1,,,
1142,Kyle Dargan,2,,1,1,,
1143,Kristina Marie Darling,2,,2,,,
1144,Lightsey Darst,1,,1,,,
1145,Mahmoud Darwish,9,,,,6,3
1146,Najwan Darwish,4,,,3,1,
1147,Julia Kolchinsky Dasbach,2,,1,1,,
1148,Luis G. Dato,1,,,,,1
1149,Lesley Dauer,1,,1,,,
1150,Pam Davenport,1,,1,,,
1151,Steve Davenport,2,,2,,,
1152,Soleil Davíd,1,,,1,,
1153,Chad Davidson,1,,1,,,
1154,Phebe Davidson,1,,1,,,
1155,Robin Davidson,1,,1,,,
1156,Adam O. Davis,2,,1,1,,
1157,Allison Davis,1,,1,,,
1158,Althea Davis,1,,,,1,
1159,Brad Davis,1,,1,,,
1160,Carol Ann Davis,6,,6,,,
1161,Catherine Breese Davis,1,,1,,,
1162,Cortney Davis,1,,1,,,
1163,Geffrey Davis,2,,1,,,1
1164,Imani Davis,1,,,1,,
1165,Jon Davis,1,,1,,,
1166,Margo Davis,1,,1,,,
1167,Marissa Davis,2,,,1,,1
1168,Olena Kalytiak Davis,3,,2,1,,
1169,Peter Davis,1,,1,,,
1170,Teri Ellen Cross Davis,1,,,1,,
1171,Todd Davis,10,,7,2,,1
1172,William Virgil Davis,1,,1,,,
1173,Armen Davoudian,2,,,1,,1
1174,Kwame Dawes,9,,3,2,,4
1175,Ajanaé Dawkins,1,,,1,,
1176,Erica Dawson,3,,2,1,,
1177,Steven Espada Dawson,3,,,2,,1
1178,Adam Day,3,,3,,,
1179,Holly Day,1,,1,,,
1180,Lucille Lang Day,2,,2,,,
1181,Meg Day,4,,1,,,3
1182,Tyree Daye,4,,,1,,3
1183,Samantha Deal,1,,1,,,
1184,Debra Kang Dean,3,,3,,,
1185,John F. Deane,1,,,1,,
1186,Sasha Debevec-McKenney,2,,,2,,
1187,JD Debris,3,,1,2,,
1188,Kendra DeColo,4,,2,2,,
1189,Cara Dees,1,,,1,,
1190,Brett DeFries,1,,1,,,
1191,Nehassaiu deGannes,2,,,1,,1
1192,Albert DeGenova,1,,1,,,
1193,Jen DeGregorio,1,,1,,,
1194,Greg Delanty,1,,,,,1
1195,Diana Marie Delgado,2,,,,,2
1196,Nicole Cecilia Delgado,3,,,2,,1
1197,Jennifer Bowering Delisle,1,,1,,,
1198,William Delman,1,,1,,,
1199,Tjawangwa Dema,1,,,,,1
1200,Andrew Demcak,1,,1,,,
1201,Brian Komei Dempster,1,,,1,,
1202,Risa Denenberg,3,,3,,,
1203,Jireh Deng,1,,,,,1
1204,Chard deNiord,5,,3,1,,1
1205,Carl Dennis,4,,4,,,
1206,Matt Dennison,1,,1,,,
1207,Edward Denniston,1,,1,,,
1208,Shira Dentz,4,,4,,,
1209,Emma DePanise,1,,1,,,
1210,Trace Howard DePass,1,,,1,,
1211,Adebe DeRango-Adem,1,,,1,,
1212,Toi Derricotte,4,,,1,,3
1213,Heather Derr-Smith,2,,2,,,
1214,Alice Derry,1,,1,,,
1215,Chelsea B. DesAutels,3,,,1,1,1
1216,Jay Deshpande,3,,1,,,2
1217,Christine DeSimone,1,,1,,,
1218,Dessa,1,,,,,1
1219,Nicolas A. Destino,1,,1,,,
1220,Christian Detisch,1,,,1,,
1221,Danielle Cadena Deulen,4,,3,1,,
1222,Ananda Devi,1,,,1,,
1223,Dot Devota,1,,1,,,
1224,Nirwan Dewanto,1,,,1,,
1225,Christopher DeWeese,4,,4,,,
1226,Alok Dhanwa,1,,,1,,
1227,Imtiaz Dharker,1,,,,,1
1228,Tsering Wangmo Dhompa,1,,1,,,
1229,Abū Dhuʾayb,1,,,1,,
1230,Michael Dhyne,1,,,1,,
1231,Ming Di,1,,,,,1
1232,Zang Di,1,,,,,1
1233,Joshua Diamond,2,,2,,,
1234,Joel Dias-Porter,1,,,1,,
1235,Cristina Pérez Díaz,2,,,,,2
1236,Joanne Diaz,1,,1,,,
1237,Jose Hernandez Diaz,7,,7,,,
1238,Natalie Diaz,2,,1,,,1
1239,James Dickey,1,,,,,1
1240,Melissa Dickey,1,,1,,,
1241,Paul Dickey,1,,1,,,
1242,Adam Dickinson,1,,,1,,
1243,Emily Dickinson,28,20,,1,5,2
1244,Stephanie Dickinson,2,,2,,,
1245,Matthew Dickman,4,,,1,,3
1246,Michael Dickman,2,,1,,,1
1247,Katy Didden,2,,1,1,,
1248,Barbara Westwood Diehl,1,,1,,,
1249,Kirsten Dierking,1,,,,1,
1250,Bryan D. Dietrich,1,,1,,,
1251,Maggie Dietz,3,,2,,,1
1252,Alisha Dietzman,3,,1,,1,1
1253,LaTasha N. Nevada Diggs,1,,,,,1
1254,Emari DiGiorgio,1,,1,,,
1255,Todd Dillard,1,,,,1,
1256,Fay Dillof,3,,2,1,,
1257,Rachel Dillon,2,,1,,,1
1258,Anthony DiMatteo,1,,1,,,
1259,Mia Dimina,1,,,1,,
1260,Alex Dimitrov,5,,2,1,1,1
1261,Chelsea Dingman,6,,5,,,1
1262,Máirtín Ó Direáin,1,,,1,,
1263,Norita Dittberner-Jax,1,,1,,,
1264,Gregory Djanikian,6,,5,,,1
1265,Milan Djordjevic,1,,1,,,
1266,Stephen Dobyns,1,,1,,,
1267,jayy dodd,1,,,1,,
1268,Timothy Dodd,1,,1,,,
1269,Alison Doernberg,1,,1,,,
1270,DJ Dolack,1,,1,,,
1271,Sharon Dolin,4,,4,,,
1272,Ben Doller,1,,,,1,
1273,Jeff Dolven,2,,1,,,1
1274,Chris Dombrowski,1,,,1,,
1275,Rosemarie Dombrowski,1,,,1,,
1276,Ron Domen,1,,1,,,
1277,David Dominguez,1,,,,,1
1278,Nik De Dominic,2,,1,1,,
1279,Yun Dong-ju,1,,,1,,
1280,Cass Donish,1,,,,,1
1281,John Donne,21,19,,,,2
1282,Timothy Donnelly,6,,5,1,,
1283,Matt Donovan,2,,,1,,1
1284,Tim Dooley,2,,2,,,
1285,Geri Doran,1,,1,,,
1286,Lorraine Doran,1,,1,,,
1287,Dolores Dorantes,1,,,1,,
1288,Mary Dorcey,1,,1,,,
1289,Lisa Dordal,2,,2,,,
1290,Sally Van Doren,1,,1,,,
1291,Erin Dorney,1,,,1,,
1292,Tishani Doshi,5,,1,1,,3
1293,Mark Doty,2,,1,,,1
1294,Sean Thomas Dougherty,6,,5,,,1
1295,Ian William Douglas,1,,,,1,
1296,Merrill Oliver Douglas,1,,1,,,
1297,Charles Douthat,1,,1,,,
1298,Rita Dove,6,,,2,2,2
1299,Rebecca Doverspike,1,,1,,,
1300,Hannah Dow,1,,1,,,
1301,Mark Dow,1,,1,,,
1302,Juditha Dowd,1,,1,,,
1303,Kim Dower,2,,2,,,
1304,C.L. Downing,1,,1,,,
1305,Julie Doxsee,1,,1,,,
1306,Caitlin Doyle,2,,,,1,1
1307,James Doyle,8,,8,,,
1308,Jenny Drai,2,,2,,,
1309,Asa Drake,5,,,1,2,2
1310,Kinsale Drake,3,,1,1,,1
1311,Nick Drake,1,,1,,,
1312,Boris Dralyuk,1,,,1,,
1313,Scott Draper,1,,1,,,
1314,Donelle Dreese,1,,1,,,
1315,Ian Dreiblatt,1,,,1,,
1316,Erika Dreifus,1,,1,,,
1317,George Drew,1,,1,,,
1318,Wendy Drexler,3,,3,,,
1319,Kathleen Driskell,2,,1,,,1
1320,Celia Dropkin,1,,,1,,
1321,John Philip Drury,3,,3,,,
1322,Amy Dryansky,3,,3,,,
1323,Carlina Duan,3,,,1,,2
1324,Isabel Duarte-Gray,1,,,1,,
1325,Norman Dubie,2,,2,,,
1326,Jehanne Dubrow,14,,13,1,,
1327,John Dudek,1,,1,,,
1328,Ellen Dudley,1,,1,,,
1329,Carol Ann Duffy,5,,,1,4,
1330,Alan Dugan,2,,,,2,
1331,Hollie Dugas,2,,2,,,
1332,Denise Duhamel,8,,6,,,2
1333,Nate Duke,1,,,1,,
1334,Vernon Duke,1,,,,,1
1335,Michael Dumanis,4,,1,1,,2
1336,Henry Dumas,1,,,1,,
1337,Paul Laurence Dunbar,13,11,,,,2
1338,Liza Katz Duncan,2,,,2,,
1339,Patrick Dundon,1,,,,,1
1340,Camille T. Dungy,9,,3,1,,5
1341,Rebecca Dunham,4,,4,,,
1342,Meghan Dunn,2,,1,,,1
1343,Natalie Dunn,2,,,,,2
1344,Stephen Dunn,15,,6,1,8,
1345,Steven Duong,1,,,1,,
1346,Anaïs Duplan,2,,1,1,,
1347,Jane Duran,1,,1,,,
1348,Jessica Durham,1,,1,,,
1349,Melanie Dusseau,1,,1,,,
1350,Ryler Dustin,2,,1,,,1
1351,Nicole Terez Dutton,1,,1,,,
1352,Jaclyn Dwyer,1,,1,,,
1353,Joanne Dominique Dwyer,1,,1,,,
1354,Kristin Dykstra,1,,,1,,
1355,Saddiq Dzukogi,3,,1,1,1,
1356,Cornelius Eady,4,,,,2,2
1357,James Earp,1,,1,,,
1358,Haines Eason,1,,1,,,
1359,Carolina Ebeid,5,,4,,1,
1360,David Ebenbach,2,,2,,,
1361,Jane Ebihara,1,,,,,1
1362,Ryan Eckes,1,,,1,,
1363,Suzanne Edison,2,,2,,,
1364,Cynthia Schwartzberg Edlow,1,,1,,,
1365,Martin Edmunds,1,,1,,,
1366,Russell Edson,3,,,1,2,
1367,Lois Parker Edstrom,2,,2,,,
1368,Joshua Edwards,2,,1,1,,
1369,Lynnell Edwards,3,,2,,,1
1370,Stevie Edwards,2,,2,,,
1371,Moira Egan,2,,2,,,
1372,Ron Egatz,1,,1,,,
1373,Julie Egdell,1,,1,,,
1374,Lara Egger,3,,3,,,
1375,Erica Ehrenberg,1,,,1,,
1376,Charlotte Eichler,1,,,1,,
1377,Jorge Eduardo Eielson,1,,,1,,
1378,Jacob Eigen,1,,,1,,
1379,Natalie Eilbert,1,,,1,,
1380,Nancy Eimers,2,,2,,,
1381,Susan Eisenberg,1,,1,,,
1382,Keith Ekiss,2,,2,,,
1383,Eric Ekstrand,1,,1,,,
1384,Susan Elbe,3,,3,,,
1385,Karl Elder,2,,2,,,
1386,Mary Elder,1,,1,,,
1387,Melissa Eleftherion,1,,1,,,
1388,Dalia Elhassan,1,,,1,,
1389,Safia Elhillo,3,,,1,1,1
1390,Olivia Elias,1,,,1,,
1391,T.S. Eliot,7,7,,,,
1392,Ansel Elkins,1,,,,,1
1393,Sarah Elkins,1,,1,,,
1394,Dana Elkun,1,,1,,,
1395,Mohammed El-Kurd,2,,,1,,1
1396,Chris Ellery,1,,1,,,
1397,Chiyuma Elliott,3,,1,1,,1
1398,Okla Elliott,2,,2,,,
1399,Katy E. Ellis,1,,1,,,
1400,Brooke Ellsworth,1,,,1,,
1401,Qutouf Elobaid,2,,,,,2
1402,Rebecca Elson,1,,,,1,
1403,Lynn Emanuel,2,,1,1,,
1404,Oladosu Michael Emerald,1,,,,1,
1405,Claudia Emerson,4,,3,,,1
1406,Hannah Emerson,2,,,1,,1
