#,Author,Total Poems,Live,Verse Daily,Poetry Daily,RALP,Slowdown
159,Nicola Andrews,1,,,1,,
160,Nin Andrews,2,,2,,,
161,Antonella Anedda,2,,,2,,
162,Ally Ang,4,,,1,1,2
163,Ralph Angel,3,,3,,,
164,Carlos A. Angeles,1,,,,1,
165,Maya Angelou,2,,,1,1,
166,Kate Angus,1,,1,,,
167,Abayomi Animashaun,2,,2,,,
168,Christopher Ankney,1,,1,,,
169,Honora Ankong,1,,,1,,
170,Diana Anphimiadi,1,,,1,,
171,Tiel Aisha Ansari,1,,1,,,
172,Matt Anserello,1,,1,,,
173,Aaron Anstett,6,,6,,,
174,Romalyn Ante,2,,,,1,1
175,Diannely Antigua,4,,,1,,3
176,Raymond Antrobus,5,,,3,1,1
177,Betsy Aoki,1,,1,,,
178,Melissa Apperson,1,,1,,,
179,Annie Appleton,1,,1,,,
180,Cristin O'Keefe Aptowicz,3,,3,,,
181,Austin Araujo,2,,,1,,1
182,Judith Arcana,1,,1,,,
183,Manuel Maples Arce,1,,,1,,
184,Archilochus,1,,,1,,
185,Tommy Archuleta,1,,,1,,
186,Mary Ardery,1,,,,,1
187,Homero Aridjis,1,,,1,,
188,Feranmi Ariyo,1,,,1,,
189,Faith Arkorful,1,,,,1,
190,Megan Arlett,1,,1,,,
191,Rae Armantrout,4,,2,2,,
192,Brent Armendinger,1,,1,,,
193,Simon Armitage,3,,,,2,1
194,Craig Arnold,1,,,,,1
195,Elizabeth Arnold,1,,,1,,
196,Martin Arnold,1,,1,,,
197,Matthew Arnold,2,2,,,,
198,Rebecca Aronson,5,,5,,,
199,Aishvarya Arora,1,,1,,,
200,Cynthia Arrieu-King,3,,1,1,,1
201,Jubi Arriola-Headley,1,,,,,1
202,Rane Arroyo,2,,2,,,
203,Sarah Arvio,3,,,1,,2
204,Gil Arzola,1,,1,,,
205,Ayesha Asad,1,,,1,,
206,Sarpong Osei Asamoah,1,,,1,,
207,Nick Ascroft,1,,1,,,
208,L. S. Asekoff,1,,1,,,
209,Fatimah Asghar,1,,,,,1
210,John Ashbery,7,,,1,6,
211,Renée Ashley,4,,4,,,
212,Sally Ashton,1,,1,,,
213,Jabari Asim,1,,,,,1
214,Claire Askew,1,,1,,,
215,Tricia Asklar,1,,1,,,
216,Darius Atefat-Peckham,2,,,2,,
217,Susan Atefat-Peckham,1,,,1,,
218,Cynthia Atkins,4,,4,,,
219,Russell Atkins,1,,1,,,
220,Zohar Atkins,1,,,1,,
221,Jennifer Atkinson,1,,,1,,
222,Tacey M. Atsitty,2,,1,1,,
223,Margaret Atwood,11,,,,10,1
224,W. H. Auden,6,,,1,5,
225,Sarah Audsley,3,,,2,,1
226,Jane Augustine,1,,,1,,
227,Tiffany Aurelia,1,,,,1,
228,Elizabeth Austen,1,,1,,,
229,Derrick Austin,5,,1,3,1,
230,Susan Austin,1,,1,,,
231,Auvaiyar,2,,,,2,
232,A.H. Jerriod Avant,3,,,1,,2
233,Robert Avery,1,,1,,,
234,Sotero Rivera Avilés,1,,,1,,
235,Ruth Awad,4,,2,,1,1
236,Cameron Awkward-Rich,6,,1,1,3,1
237,David Axelrod,1,,1,,,
238,Ifeoluwa Ayandele,1,,1,,,
239,Lana Hechtman Ayers,5,,5,,,
240,Emma Aylor,2,,,1,,1
241,Kellam Ayres,2,,1,1,,
242,Jamie Ayze,1,,,1,,
243,Asmaa Azaizeh,1,,,1,,
244,Hajjar Baban,1,,,1,,
245,Beth Bachmann,3,,2,1,,
246,S. M. Badawi,1,,,1,,
247,Danielle Badra,1,,,1,,
248,Simon Anton Niño Diego Baena,1,,,1,,
249,Kate Baer,1,,,,,1
250,Pam Baggett,1,,,1,,
251,Rebecca Baggett,1,,,1,,
252,Julianna Baggott,2,,1,,1,
253,Jeffery L. Bahr,1,,1,,,
254,Jeffrey Bahr,1,,1,,,
255,Urvashi Bahuguna,1,,,,1,
256,Caitlin Bailey,2,,2,,,
257,Desiree C. Bailey,1,,,1,,
258,Jasmine V. Bailey,2,,2,,,
259,Scott Bailey,1,,1,,,
260,Martha Baird,1,,,,1,
261,Aimée Baker,1,,1,,,
262,Andrea Baker,2,,2,,,
263,David Baker,7,,2,2,,3
